CAL_Wip_ID,genotype,Female_Parent,CG_Avg,PHY_Avg,2Y_length,2Y_RLN,3Y_length,3Y_RLN,Over_3Y_length,Over_3Y_RLN
AD 300,,31.09,,,,,,,,
AD 301,AD 301,31.09,,,64.6,0,89,2.9,,
AD 302,AD302,31.09,,32.8,,52.69,128.33,30,,
AD 303,AD303,31.09,3.1,45.85,,22.1,67.69,75.5,,
AD 304,,31.09,1.7,,,,,,,
AD 307,AD307,31.09,2.6,11.7,,123.42,102.25,351.4,,
AD 309,AD 309,31.09,,67.7,117.6,1.95,168.5,12.4,,
AD 312,AD312,31.09,3.6,15.5,,28.07,157.2,148.9,47.17,26.5
AD 317,AD 317,31.09,1,10.05,83.3,0,129,0,,
AD 325,AD 325,31.09,1.7,,122.3,26.2875,175.6,105,,
AD 333,,31.09,,3,,,,,,
AD 345,,31.09,,3.25,,,,,,
AD 349,AD349,31.09,2.9,6.65,,235.43,103.08,156.6,,
AD 357,AD357,31.09,,14.55,,42.18,82.5,138.2,,
AD 360,,31.09,,27.7,,,,,,
AD 361,AD361,31.09,2,19.2,,29.38,118.92,104.5,,
AD 389,,31.09,,,,,,,,
AD 392,AD392,31.09,2.3,8.3,,48.55,121.42,542.4,,
AD 393,AD 393,31.09,1.6,,123.5,4.05,169.7,21.5,,
AD 395,AD395,31.09,2.1,65.25,,121.25,157.33,196.4,,
AD 396,,31.09,,43.7,,,,,,
AD 400,AD 400,31.09,2.6,33.65,102.9,9.925,145.9,27.7,,
AD 401,,31.09,,32.85,,,,,,
AD 407,AD407,31.09,2.7,15.7,,35.57,125.08,349.6,,
AD 409,,31.09,,,,,,,,
AD 412,AD412,31.09,2.5,51.85,,223.27,192.8,64.7,67.5,93
AD 414,,31.09,,12.5,,,,,,
AD 415,,31.09,3.2,,,,11.25,,,
AD 416,,31.09,1,,,,,,,
AD 418,,31.09,,39.8,,,,,,
AD 423,,31.09,,8.8,,,,,,
AD 427,AD427,31.09,1.7,11.75,,82.45,43.46,35.4,,
AD 428,AD 428,31.09,2.3,,65.8,2.4125,107.8,109.4,,
