CAL_Wip_ID,CG_Avg
48-12 CK,
CR,
CR 10,
CR 13,
Durham,
Hartley,
Forde,
Howard,
Ivanhoe,
PI159568,
R. livermore,
Serr,
Solano,
Sunland,
Tulare,
Vina,
AW 16,
AW 17,2.1
AW 18,
AW 19,
AW 20,
AW 21,
AW 22,
AW 23,
AW 24,
AW 25,
AW 26,
AW 27,
AW 28,
AW 29,
AW 30,
AW 31,
AW 32,1.9
AW 33,
AW 34,
AW 35,
AW 36,
CS 1,
CS 2,
CS 7,
CS 8,
CS 11,
CS 15,
CS 16,
CS 17,
CS 18,
CS 21,
CS 23,
CS 26,
CS 27,
CS 28,
CS 29,
CS 32,
CS 33,
CS 34,
CS 35,
CS 36,
EA 1,
EA 2,
EA 4,
EA 21,2.1
EA 12,2.7
EA 16,
EA 19,
EA 24,
EA 32,
EA 43,1.9
EA 46,1.3
EA 47,
EA 49,1.89
EC 2,
EC 4,
EC 5,
EA 9,1.95
EC 10,
EC 12,
EC 18,
EC 20,
EC 30,
EC 33,
EC 35,
EC 36,
EC 42,
EC 43,
EC 44,
EC 46,
EC 49,
EC 51,
EC 52,
EC 56,
GB 1037,
GB 1087,
GB 1094,
GB 1133,
GB 1230,3.9
GB 1327,
GB 0047,
GB 0104,
GB 0110,
GB 0173,
GB 0187,
GB 0258,
GB 0380,
GB 0467,
GB 0531,
GB 0651,2.335
GB 0666,
GB 0697,
GB 0832,
GB 0906,2.435
GB 1011,
JCS 1,2.9
JCS 2,3.5
JCS 3,3.5
JCS 6,4
JCS 7,
JCS 1,
JMOP 2,3.8
JMS 2,
JMS 3,3.1
JMS 4,3.4
JMS 5,3.3
JMS 6,
JMS 7,3.4
JMS 9,3.3
JMS 10,
JMS 11,3.3
JMS 11A,3.8
JMS 12,3.4
JMS 13,3.1
JMS 15,2.9
JMS 16,
JMS 18,2.6
JMS 19,2.8
JMS 20,2.7
JMS 21,2.9
JMS 23,
JMS 24,3.8
JMS 5A,2.8
K 2,2.86666666666667
K 3,2.04125
K 4,
K 5,2.63333333333333
K 7,
K 9,1.725
K 10,2.5
K 11,
K 12,
K 14,
K 28,
K 29,1.75
K 32,2.665
