CAL_Wip_ID,genotype,Female_Parent,length_2Y,RLN_2Y,length_3Y,RLN_3Y,Over_length_3Y,Over_RLN_3Y
48-12 CK,,,,,,,,
CR,,,,,,,,
CR 10,,,,,,,,
CR 13,,,,,,,,
Durham,,,,,,,,
Hartley,,,,,,,,
Forde,,,,,,,,
Howard,,,,,,,,
Ivanhoe,,,,,,,,
PI159568,,,,,,,,
R. livermore,,,,,,,,
Serr,SERR,,30,5.7,,,,
Solano,,,,,,,,
Sunland,,,,,,,,
Tulare,,,,,,,,
Vina,,,,,,,,
AC 176,AC 176,31.01,91.5,3,82.7,165.3,,
AC 179,AC179,31.01,,41.37,91.25,68.2,,
AC 181,,31.01,,,,,,
AC 182,AC 182,31.01,148.2,2.8875,194,42.4,,
AC 184,AC 184,31.01,120.4,0.35,160.2,7.1,,
AC 185,,31.01,,,,,,
AC 186,,31.01,,,,,,
AC 188,AC188,31.01,,16.93,58.75,231.1,,
AC 189,AC 189,31.01,144.9,8.1,188.3,66.4,,
AC 190,AC 190,31.01,129.7,12.5375,163.3,53.4,,
AC 199,AC 199,31.01,27,1.725,27,0.4,,
AC 200,,31.01,,,,,,
AC 201,AC 201,31.01,67.7,0,93.5,26.2,,
AC 206,AC 206,31.01,98.3,1.3125,149,50.6,,
AC 207,,31.01,,,,,,
AC 209,AC 209,31.01,33.5,0.025,60,15.5,,
AC 211,,31.01,,,,,,
AC 212,AC 212F,31.01,21.8,8.375,26.8,9.8,,
AC 215,,31.01,,,,,,
AC 216,,31.01,,,,,,
AC 217,AC217,31.01,,37.07,93.92,221.6,,
AC 219,,31.01,,,,,,
AC 220,AC 220,31.01,52.9,2.8125,83.9,21.1,,
AC 221,AC221,31.01,,38.61,113.21,274.4,,
AC 222,AC 222,31.01,86.3,1.625,149.1,163.3,,
AC 225,AC 225,31.01,130,20.225,167.3,35.9,,
AC 226,AC 226,31.01,47,0.05,69.4,52.5,,
AC 228,AC 228,31.01,75.5,0.166666667,98,9.5,,
AC 232,AC 232,31.01,55.9,24.875,108.5,74.1,,
AC 234,AC234,31.01,,49.35,128.25,77.5,,
AC 235,,31.01,,,,,,
AC 236,AC 236,31.01,50,0,53,2.1,,
AC 239,AC 239,31.01,24.4,0,26.7,8.3,,
AC 240,,31.01,,,,,,
AC 241,AC241,31.01,,137.55,114.5,100.2,,
AC 242,AC 242,31.01,141.8,21.85,191.2,45.2,,
AC 246,AC246,31.01,,21.24,25.92,379.6,,
AC 255,AC255,31.01,,33.83,122.67,184,,
AC 257,AC 257,31.01,123,4.4125,161.3,95.3,,
AC 258,AC 258,31.01,118.1,2.3875,163.8,46,,
AC 261,AC 261,31.01,75.5,7.775,110.5,121.5,,
AC 262,AC262,31.01,,39.1,132.17,300.6,,
AC 267,AC 267,31.01,130.5,4.816666667,190,43.3,,
AC 268,AC 268,31.01,127.2,13.9125,168.5,60.8,,
AC 270,AC 270,31.01,54.5,0.85,70.3,104.2,,
AC 271,AC271,31.01,,35.77,18.88,542.4,,
AC 272,AC272,31.01,,35.3,96.88,243.5,,
AC 273,AC 273,31.01,154,39.2625,202.7,104.2,,
AC 276,AC276,31.01,,18.98,68.58,231.3,,
AC 277,AC277,31.01,,36.83,47.58,127.8,,
AC 278,AC 278,31.01,53.3,0.325,64.2,44.8,,
AC 279,,31.01,,,,,,
AC 280,AC 280,31.01,139.8,14.625,185.5,119.4,,
AC 281,,31.01,,,,,,
AC 282,AC 282,31.01,74.5,21.03333333,113.7,212.8,,
AC 283,,31.01,,,,,,
AC 284,AC284,31.01,,24.63,84.25,414.8,,
AC 285,AC288,31.01,,26.7,,,,
AC 286,,31.01,,,,,,
AC 287,,31.01,,,,,,
AC 288,,31.01,,,74.79,112.1,,
AC 289,,31.01,,,,,,
AC 292,AC 292,31.01,56.8,37.2,62.5,55.5,,
AC 293,,31.01,,,132.17,13.1,,
AC 294,,31.01,,,,,,
AC 296,,31.01,,,133.71,279,,
AC 298,,31.01,,,,,,
AC 301,AC301,31.01,,35.29,95.69,19.1,,
AC 303,,31.01,,,,,,
AC 305,,31.01,,,,,,
AC 308,AC 308,31.01,67.6,35.4875,96.9,35.8,,
AC 310,AC 310,31.01,70.6,21.95,109.7,91.8,,
AC 312,AC312,31.01,,49.25,50.38,11.1,,
AC 314,AC 314,31.01,125,44.1125,168.3,137.2,,
AC 315,AC 315,31.01,147.2,10.75,193.3,50.1,,
AC 317,,31.01,,,,,,
AC 318,AC 318,31.01,134.3,91.9375,177.7,54.9,,
AC 322,AC 322,31.01,56.3,30.25,95,23.4,,
AC 323,AC 323,31.01,121.2,10.875,175.2,100.6,,
AC 324,AC 324,31.01,59.1,10.8,64.3,24.6,,
AC 325,,31.01,,,,,,
AC 332,,31.01,,,,,,
AC 334,AC 334,31.01,49.8,0,92,2.6,,
AC 335,AC 338,31.01,132.3,20.9,,,,
AC 337,,31.01,,,,,,
AC 338,,31.01,,,166.3,53.9,,
AC 340,,31.01,,,,,,
AC 342,AC 342,31.01,56.2,0,89.7,12.3,,
AC 343,AC343,31.01,,84.1,41.65,69.9,,
AC 346,AC 346,31.01,140,150.4625,183.5,155.5,,
AC 347,AC 347,31.01,75,0.025,103,6.5,,
AC 348,AC 348,31.01,48,0.15,70.5,93.4,,
AC 349,AC 349,31.01,54.3,0.7875,83.2,96.7,,
AC 350,AC 350,31.01,88.3,15.7625,139.5,37.1,,
AC 351,AC 351,31.01,72.5,0,79,3.5,,
AC 352,AC352,31.01,,29.98,39.2,104.8,55.21,232.6
AC 353,AC353,31.01,,34,80.65,169.7,,
AC 354,AC 354,31.01,153,2.5625,205.2,26.7,,
AC 356,AC 356,31.01,151.4,3,214.3,30.6,,
AC 358,,31.01,,,,,,
AC 359,,31.01,,,,,,
AC 363,AC 363,31.01,107.9,4.65,109.8,47.9,,
AC 364,AC 364,31.01,133.5,0,170,4.6,,
AC 365,,31.01,,,156.5,54.8,,
AC 366,AC 366,31.01,100.9,1.6875,,,,
AC 367,AC 367,31.01,117.3,12.3125,163.7,211.7,,
AC 369,,31.01,,,,,,
AC 370,AC 370,31.01,38.5,0,12.5,,,
AC 371,AC 371,31.01,41.8,2.325,28,1,,
AC 375,AC 375,31.01,68.3,0,109.5,2.2,,
AC 379,AC 379,31.01,106.2,2.3625,178.7,8.2,,
AC 380,AC 380,31.01,70.6,0,90.6,3,,
AC 383,,31.01,,,,,,
AC 384,AC 384,31.01,59,0,64.2,19.6,,
AC 385,AC385,31.01,,119.03,137.25,78.4,,
AC 386,AC386,31.01,,46.19,44.25,63.5,,
AC 394,AC 394,31.01,121.8,0.575,168.5,31.2,,
AC 402,AC402,31.01,,39.44,61.42,65.3,,
AC 407,AC407,31.01,,39.41,105.25,234.9,,
AC 408,,31.01,,,,,,
AC 411,AC 411,31.01,119.8,8.3625,154.8,65.2,,
AC 422,,31.01,,,,,,
AC 426,,31.01,,,,,,
AC 428,AC 428,31.01,115.8,10.55,153.7,160.5,,
AC 429,AC429,31.01,,77.48,101.42,176.2,,
