CAL_Wip_ID,genotype,Female_Parent,CG_Avg,PHY_Avg,3Y_length,3Y_RLN
AD 749,AD 749,31.09,2.4,35.55,138,160.2
AD 751,AD751,31.09,2.25,52.5,103,92.3
AD 764,AD764,31.09,2.2,17.4,129.92,574.3
AD 773,AD 773,31.09,1.9,33.1,152.2,55.7
AD 783,AD783,31.09,2.8,4.4,150.8,21
AD 785,AD785,31.09,2.5,52.05,73.21,321.1
AD 789,AD789,31.09,1.8,63.65,115.54,112.4
AD 821,AD821,31.09,2.1,46.5,72.25,159.1
AD 569,AD569,31.09,1.8,27,73.17,130.3
EA 43,EA43,31.09,1.9,59.6,73.17,301.7
EA 49,EA49,31.09,1.89,30.8125,88.33,80.1
MS1-3,MS1 3,31.01,3,52.4,171.6,22.5
MS1-7,MS1 7 ,31.01,3.2,45.975,133.75,60
MS1-8,MS1 8 ,31.01,2.8,38.525,112.81,55.6
MS1-12,MS1 12,31.01,3.25,54.399925,64.69,14
MS1-19,MS1 19,31.01,2.5,26.401975,132.56,55.2
MS1-21,MS1 21,31.01,3.7,31,136.44,47.6
MS1-27,MS1 27,31.01,2.9075,45.325,138.25,48.2
MS1-28,MS1 28,31.01,2.4,20.1,88.42,485.7
MS1-31,MS1 31,31.01,2.27166666666667,30.858325,127.75,235.8
MS1-32,MS1 32,31.01,2.6,37.95,66,82.4
MS1-33,MS1 33,31.01,2.18333333333333,23.15,137.29,122.2
MS1-36,MS1 36,31.01,1.5,15.97925,37.5,34.1
MS1-41,MS1 41,31.01,2.13333333333333,35.026275,139.56,63.9
MS1-44,MS1 44,31.01,2.05,57.975,139.25,60.1
MS1-48,MS1 48,31.01,3.55,35.5,158.25,73.9
MS1-49,MS1 49,31.01,1.4,19.6,77.69,112.8
MS1-51,MS1 51,31.01,2.47166666666667,30.125,148.75,86.3
MS1-55,MS1 55,31.01,1.46666666666667,23.55,32.13,173.6
MS1-56,MS1 56,31.01,1.075,19.5,44.94,13
MS1-62,MS1 62,31.01,2.8,29.716575,190,125.9
MS1-65,MS1 65,31.01,2.4,55.95,146.63,41.8
MS1-71,MS1 71,31.01,3.7,47.2,178.71,58.4
MS1-72,MS1 72,31.01,3.65,30.95,135.2,15.9
MS1-73,MS1 73,31.01,1.36666666666667,39.8,48.25,176.2
MS1-84,MS1 84,31.01,1,51.625,30.25,31.7
MS1-86,MS1 86,31.01,3.6,56.475,163.57,44.8
MS1-87,MS1 87,31.01,3.55,42.025,131.33,63.3
MS1-90,MS1 90,31.01,3.9,46.35,109.81,17.4
MS1-93,MS1 93,31.01,1,10.416675,22.56,10.7
MS1-94,MS1 94,31.01,3.35,43.56875,175.38,27.6
MS1-95,MS1 95,31.01,3.1,29.075,70.54,172
MS1-96,MS1 96,31.01,2.8,33.85,137.9,84.7
MS1-97,MS1 97,31.01,3.4,39.85,138.5,77.7
MS1-99,MS1 99,31.01,2.346,26.725,183.86,63.3
MS1-103,MS1 103,31.01,2.9,36.01105,151.57,56.1
MS1-106,MS1 106,31.01,1,22.8,88.5,20.4
MS1-119,MS1 119,31.01,3.8,42.775,52.2,15.4
MS1-122,MS1 122,31.01,3.3,39.7,173,68.9
MS1-125,MS1 125,31.01,2.95,47.05,192.13,32.6
MS1-127,MS1 127,31.01,1.23333333333333,25.55,119.13,27.2
MS1-128,MS1 128,31.01,2.13333333333333,41.4375,169.88,44.9
MS1-130,MS1 130,31.01,3.35,36.7,187.5,68.5
MS1-132,MS1 132,31.01,3.4,47.35,134.6,56
MS1-138,MS1 138,31.01,3.6,41.05,120.38,53.3
TB19,TB 19,31.09,3.1,27.225,119.92,112.8
TB35,TB 35,31.09,2.9,5.6,68.31,65.9
TB37,TB 37,31.09,3.3,18.160625,120.9,84.1
TB90,TB 90,31.09,2.0425,29.82075,123.38,333.7
TB108,TB108,31.09,1,38.3,60.81,26.9
TB120,TB120,31.09,1,7.2,40.38,5.3
